,Название объекта,Рынок,Стадия стартапа,Сервисы,Технологии,type
0,Бизнес-инкубатор ГУУ,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса,AR/VR|Интернет вещей,1
1,5G Инкубатор МТС,Transport & Logistics|IndustrialTech|Gaming|Entertainment|Healthcare,Ранний рост,"Тестирование продукта |Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам |Финансовая поддержка (субсидии, гранты и т.п.)|Доступ к оборудованию/ лаборатории / облачным сервисам",AR/VR|Интернет вещей,0
2,Бизнес-инкубатор МФТИ,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение |Помещение для аренды офиса|Доступ к оборудованию/ лаборатории / облачным сервисам,,1
3,"Бизнес-инкубатор ""SKL Tech""",EdTech|FashionTech|Consumer Goods & Services|Healthcare|Travel,Идея|Посевная,Инвестиции|Ментор/ консультант для поддержки развития бизнеса |Помощь в формировании команды|Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам |Маркетинг и продвижение |Доступ к потенциальным заказчикам,Искусственный интеллект и машинное обучение,0
4,"Бизнес-инкубатор ""МПолитех""",Advertising & Marketing|Мedia & Communication,Идея|Посевная,Тематические мероприятия (нетворкинг)|Ментор/ консультант для поддержки развития бизнеса |Помощь в формировании команды|Защита интеллектуальной собственности |Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам |Маркетинг и продвижение |Доступ к потенциальным заказчикам|Прототипирование,3D моделирование|AR/VR,0
5,"Бизнес-инкубатор ""EcoBizCenter""",CleanTech,Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение ,Зеленые технологии|Новые и портативные источники энергии,0
6,Центр начинающего предпринимательства МАИ,,Идея,,,1
7,Отраслевой аграрный бизнес-инкубатор  ФГБОУ ВО РГАУ-МСХА имени К.А. Тимирязева,AgroTech,Идея|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение |Доступ к потенциальным заказчикам|Доступ к оборудованию/ лаборатории / облачным сервисам|Проектирование,,1
8,"Бизнес-инкубатор Технопарка ""Строгино""",AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам |Помещение для аренды офиса,,1
9,Бизнес-инкубатор РЭУ им. Г.В. Плеханова,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея|Посевная,Тематические мероприятия (нетворкинг)|Ментор/ консультант для поддержки развития бизнеса |Консультационная поддержка по развитию бизнеса|Доступ к потенциальным заказчикам,,1
10,Бизнес-инкубатор НИУ ВШЭ,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Идея|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение |Помещение для аренды офиса|Доступ к оборудованию/ лаборатории / облачным сервисам,,1
11,"Бизнес-инкубатор ""Зеленоград""",AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост,Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам |Маркетинг и продвижение |Помещение для аренды офиса,Нанотехнологии,1
12,Бизнес-инкубатор МГУ им. М. В. Ломоносова,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Идея|Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Поддержка по юридическим / бухгалтерским вопросам |Доступ к потенциальным заказчикам,,0
13,WeWork Labs,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Расширение|Идея|Посевная,Обучение (образовательные программы)|Помещение для аренды офиса,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0
14,Kaspersky Innovation Hub,Cybersecurity|Transport & Logistics|SpaceTech|Gaming|Healthcare,Посевная,Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Помощь в выходе на международный рынок,3D моделирование|AR/VR|Биотехнологии|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение|Нейротехнологии,0
15,Тест тестович,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Любая|Расширение|Идея|Посевная,"Инвестиции|Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Помощь в формировании команды|Защита интеллектуальной собственности |Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам |Маркетинг и продвижение |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам|Программа постсопровождения|Финансовая поддержка (субсидии, гранты и т.п.)|Помещение для аренды офиса|Предоставление юридического адреса |Доступ к оборудованию/ лаборатории / облачным сервисам|Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство",3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0
16,"""КоЛаборатор®"" ",Healthcare,Посевная,"Ментор/ консультант для поддержки развития бизнеса |Финансовая поддержка (субсидии, гранты и т.п.)",Биотехнологии|Нанотехнологии,0
