,Название объекта,Рынок,Стадия стартапа,Сервисы,Технологии,type,Сайт
0,Da Vinci Capital,Cybersecurity|Transport & Logistics|Business Software|Consumer Goods & Services|FinTech,Ранний рост|Расширение,Инвестиции,AR/VR|Big Data|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение,0,http://ru.dvcap.com/ 
1,New Industry Ventures,CleanTech,Ранний рост|Расширение|Посевная,Инвестиции,3D моделирование|Big Data|Интернет вещей|Новые материалы,0,https://newindustry.vc/
2,AddVenture,HRTech|Consumer Goods & Services|FoodTech|Healthcare,Ранний рост|Расширение,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://www.addventure.vc/
3,Admitad Invest,Business Software|Advertising & Marketing|E-commerce,Ранний рост|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам ,AR/VR|Искусственный интеллект и машинное обучение,0,https://invest.admitad.com/
4,AltaIR Capital ,EdTech|InsuranceTech|Business Software|E-commerce|FinTech|Healthcare,Ранний рост|Расширение|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам |Маркетинг и продвижение ,Блокчейн|Искусственный интеллект и машинное обучение,0,http://www.altair.vc/
5,Baring Vostok ,Telecom|Consumer Goods & Services|CleanTech|E-commerce|FinTech|Мedia & Communication,Расширение,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://baring-vostok.com/ru/
6,Flashpoint VC,EdTech|Entertainment|FinTech|Healthcare,Ранний рост|Расширение,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://flashpointvc.com/
7,Cabra VC,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://cabra.vc/
8,Эльбрус Капитал,EdTech|Transport & Logistics|Business Software|Consumer Goods & Services|Healthcare,Расширение,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://elbcp.com/
9,Emery Capital,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Расширение,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://emery.capital/
10,FinSight Ventures,PropTech|IndustrialTech|Business Software|FinTech,Ранний рост|Расширение,Инвестиции,Интернет вещей|Искусственный интеллект и машинное обучение|Робототехника,0,http://finsightvc.com/
11,Flint Capital,Cybersecurity|EdTech|Business Software|Advertising & Marketing|Consumer Goods & Services|E-commerce|FinTech|Healthcare,Ранний рост|Расширение|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение ,Интернет вещей|Искусственный интеллект и машинное обучение,0,http://flintcap.com/
12,Frontier Ventures,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Расширение|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение ,Блокчейн,0,https://frontier.ventures/
13,Genezis Technology Capital,EdTech|PropTech|IndustrialTech|Business Software,Ранний рост|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,Искусственный интеллект и машинное обучение|Робототехника,0,http://www.geneziscap.com/
14,I2BF Global Ventures,SpaceTech|CleanTech,Ранний рост|Посевная,Инвестиции,Биотехнологии|Зеленые технологии|Новые материалы,0,http://www.i2bf.com/
15,IMI.vc,Gaming|Entertainment,Ранний рост|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://imi.vc/
16,Impulse VC,Advertising & Marketing|RetailTech|E-commerce,Ранний рост|Посевная,Инвестиции|Тематические мероприятия (нетворкинг)|Ментор/ консультант для поддержки развития бизнеса |Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам ,Интернет вещей,0,http://impulsevc.com/
17,Indigo Capital Partners,SportTech|Consumer Goods & Services|FoodTech|Healthcare,Ранний рост|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://indigocapital.ru/
18,Inventure Partners,EdTech|Transport & Logistics|E-commerce|FinTech|Travel,Ранний рост|Расширение|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://inventurepartners.ru
19,LANIT Ventures,PropTech|IndustrialTech|HRTech|RetailTech|FinTech,Ранний рост|Посевная,Инвестиции|Маркетинг и продвижение ,Big Data|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение,0,https://www.lanit.ru/about/departments/korporativnyy-venchurnyy-fond-lanit-ventures/
20,Larix,Transport & Logistics|PropTech|E-commerce,Ранний рост|Расширение|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://larix.vc/
21,LETA Capital,EdTech|Transport & Logistics|Business Software|Advertising & Marketing|RetailTech|FinTech,Ранний рост|Расширение|Посевная,Инвестиции,AR/VR|Big Data|Искусственный интеллект и машинное обучение|Робототехника,0,https://leta.vc/
22,Moscow Seed Fund,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://www.mosinnov.ru/
23,NP Capital,EdTech|Gaming|FinTech|Travel,Ранний рост|Посевная,Инвестиции,Блокчейн|Искусственный интеллект и машинное обучение,0,https://np.capital/
24,Primer Capital,Healthcare,Ранний рост|Посевная,Инвестиции,3D моделирование|Big Data|Биотехнологии|Искусственный интеллект и машинное обучение,0,http://primer-capital.com/
25,iTech Capital ,EdTech|SportTech|LegalTech|Advertising & Marketing|FinTech|Healthcare|Travel,Ранний рост|Расширение,Инвестиции|Консультационная поддержка по развитию бизнеса,Big Data|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение,0,https://www.itcap.vc/
26,Prytek,Cybersecurity|EdTech|HRTech|Entertainment|FinTech,Ранний рост|Расширение,Инвестиции,3D моделирование|Big Data|Искусственный интеллект и машинное обучение,0,https://prytek.com/ru
27,Runa Capital,EdTech|Business Software|FinTech|Healthcare,Ранний рост|Расширение|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,3D моделирование|Big Data|Искусственный интеллект и машинное обучение,0,http://www.runacap.com/
28,RTP Global,Transport & Logistics|PropTech|SportTech|InsuranceTech|E-commerce|FinTech|FoodTech|Healthcare,Ранний рост|Посевная,Инвестиции,Искусственный интеллект и машинное обучение,0,https://rtp-global.com/
29,Rusnano Sistema Sicar,Transport & Logistics|PropTech|SafetyTech|CleanTech,Ранний рост|Расширение,Инвестиции,Новые и портативные источники энергии|Новые материалы,0,https://www.rss.vc/
30,Russia Partners,Transport & Logistics|PropTech|Telecom|IndustrialTech|Advertising & Marketing|Consumer Goods & Services|E-commerce|FinTech,Ранний рост|Расширение,Инвестиции,,0,http://www.russiapartners.ru/
31,RWM Capital,Business Software|CleanTech|FinTech|Healthcare,Посевная,Инвестиции,,0,http://www.rwmcapital.ru/
32,Severstal Ventures,PropTech|IndustrialTech|CleanTech,Расширение,Инвестиции,Новые и портативные источники энергии|Новые материалы,0,https://innovations.severstal.com/ventures
33,Sistema VC,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Расширение,Инвестиции,AR/VR|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нейротехнологии,0,https://sistema.vc/
34,Softline Seed Fund ,Cybersecurity|Business Software|Advertising & Marketing|FinTech,Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://ssf.vc/
35,SOL Ventures,Advertising & Marketing|E-commerce|FinTech,Ранний рост|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://solventures.ru/
36,Stalker Fund,Business Software|E-commerce,Ранний рост|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,AR/VR|Интернет вещей|Искусственный интеллект и машинное обучение,0,http://www.stalkerfund.com/
37,Starta Ventures,EdTech|Gaming|SportTech|LegalTech|HRTech|Business Software|FinTech|FoodTech,Ранний рост|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://www.startaventures.com/
38,Target Global,Transport & Logistics|Business Software|E-commerce|FinTech|Healthcare,Ранний рост|Расширение|Посевная,Инвестиции,Искусственный интеллект и машинное обучение,0,https://www.targetglobal.vc/
39,Taxcom Venture Capital,Cybersecurity|InsuranceTech|FinTech,Ранний рост|Посевная,Инвестиции,Big Data|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение,0,https://tvc.taxcom.ru
40,The Untitled ventures,AgroTech|Healthcare,Ранний рост|Посевная,Инвестиции,Big Data|Искусственный интеллект и машинное обучение|Робототехника,0,http://theuntitled.net/ru/
41,Typhoon Digital Development,Telecom|Advertising & Marketing|Мedia & Communication,Ранний рост|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,Big Data|Искусственный интеллект и машинное обучение,0,http://typhoon.vc/
42,UFG Private Equity,Telecom|Business Software|Consumer Goods & Services|E-commerce|Healthcare,Расширение,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://pe.ufgam.com
43,United Capital Partners (UCP),IndustrialTech|Consumer Goods & Services|CleanTech|E-commerce|FinTech,Расширение,Инвестиции,Блокчейн|Новые материалы,0,http://www.ucpfund.com/
44,Rainfall Ventures ,E-commerce|FinTech|FoodTech|Мedia & Communication,Ранний рост|Расширение|Посевная,Инвестиции,Big Data,0,https://www.rainfall.com/
45,Ventech,Business Software|Мedia & Communication,Ранний рост|Посевная,Инвестиции,Big Data|Искусственный интеллект и машинное обучение,0,https://www.ventechvc.com/
46,Venture Bot ,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://venturebot.fund/
47,Winter Capital,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://wintercapital.com/
48,Xploration Capital,Transport & Logistics|PropTech,Ранний рост,Инвестиции,Big Data|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение|Робототехника,0,http://xplorationcapital.com
49,Росинфокоминвест,Transport & Logistics|PropTech|IndustrialTech|CleanTech|FinTech|Healthcare,Ранний рост|Расширение,Инвестиции,Big Data|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение,0,http://www.rosinfocominvest.ru/
50,ВТБ Капитал Управление Активами,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Расширение,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://www.vtbcapital-am.ru/
51,VEB Ventures,Cybersecurity|Transport & Logistics|SpaceTech|Telecom|IndustrialTech|CleanTech|FinTech|Healthcare,Ранний рост|Расширение,Инвестиции,Big Data|Биотехнологии|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение|Нанотехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://veb.ventures/ru
52,КоммИТ Кэпитал,Cybersecurity|Telecom,Ранний рост|Расширение|Посевная,Инвестиции,Интернет вещей,0,https://www.company.rt.ru/
53,Digital Evolution Ventures,Transport & Logistics|PropTech|IndustrialTech|CleanTech|Healthcare,Ранний рост|Расширение|Посевная,Инвестиции,3D моделирование|Аддитивные технологии|Беспилотники|Зеленые технологии|Искусственный интеллект и машинное обучение|Новые и портативные источники энергии,0,https://orbitacapital.com/
54,Российский фонд прямых инвестиций (РФПИ),EdTech|Transport & Logistics|PropTech|Telecom|IndustrialTech|SafetyTech|CleanTech|FoodTech|Healthcare,Расширение,Инвестиции|Обучение (образовательные программы),3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://rdif.ru/
55,С-Групп Венчурс,IndustrialTech|CleanTech|Healthcare,Ранний рост|Расширение,Инвестиции,Биотехнологии|Зеленые технологии|Нанотехнологии|Новые материалы,0,http://www.uk-sgcm.ru/
56,ТилТех Капитал,EdTech|Gaming|SportTech|FashionTech|RetailTech|E-commerce|Entertainment|FoodTech|Travel|Мedia & Communication,Ранний рост|Идея|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://tealtechcapital.ru/
57,"Фонд ""ПроОбраз""",EdTech|HRTech,Ранний рост|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://proobraz.org/
58,Венчурный фонд НТИ,Transport & Logistics|IndustrialTech|SafetyTech|CleanTech|FoodTech|Healthcare,Ранний рост|Посевная,Инвестиции,AR/VR|Аддитивные технологии|Биотехнологии|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение|Новые и портативные источники энергии|Робототехника,0,https://www.rvc.ru/eco/development_nti/fund_nti/
59,ФРИИ,AgroTech|Cybersecurity|EdTech|Telecom|Business Software|RetailTech|E-commerce|FinTech|Healthcare,Ранний рост|Идея|Посевная,Инвестиции,AR/VR|Big Data|Биометрия|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение|Робототехника,0,https://www.iidf.ru/
60,Венчурный фонд МТС,EdTech|Business Software|FinTech|Мedia & Communication,Ранний рост|Посевная,Инвестиции,Интернет вещей|Искусственный интеллект и машинное обучение,0,https://startup.mts.ru/cvc
61,TerraVC,IndustrialTech|CleanTech,Ранний рост|Расширение,Инвестиции|Консультационная поддержка по развитию бизнеса,Аддитивные технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Робототехника,0,https://terra.vc/
62,"Фонд ""Индустрия 4.0"" ",IndustrialTech,Ранний рост|Расширение,Инвестиции|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение ,AR/VR|Интернет вещей|Искусственный интеллект и машинное обучение|Новые материалы|Робототехника,0,http://rbvc.ru/
63,Дальневосточный фонд высоких технологий,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Расширение,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://www.vostokventures.ru/
64,Skolkovo Ventures,Cybersecurity|FinTech,Ранний рост|Расширение,Инвестиции,AR/VR|Big Data|Аддитивные технологии|Беспилотники|Интернет вещей|Искусственный интеллект и машинное обучение|Новые материалы|Робототехника,0,https://sk-venture.ru/
65,Gagarin Capital,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост,Инвестиции,Искусственный интеллект и машинное обучение,0,https://www.gagarin.capital/
66,A.Partners,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Расширение|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://apartners.capital/
67,ExpoCapital,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Посевная,Инвестиции,,0,https://expocapital.eu/index.php/en/
